Model Name,Batch Size,N_Epochs,lr,fr,eps,wu,wd,Training Loss,Training Accur.,Valid. Loss,Valid. Accur.,Testing Accur.
bert-base-uncased,16,3,3e-05,5e-05,1e-08,0.1,0.01,0.2301243855990787,92.14224872231686,1.6864868531355988,51.29504505846951,46.34703196347032
bert-base-uncased,16,1,3e-05,5e-05,1e-08,0.1,0.01,0.30659447308293397,88.45400341121668,1.7938928306102753,49.22578830171276,44.71080669710807
bert-base-uncased,16,1,3e-05,5e-05,1e-08,0.1,0.01,0.10739788843962972,96.72913117749931,2.533883247021082,46.77646397738843,41.55251141552511
bert-base-uncased,16,1,3e-05,5e-05,1e-08,0.1,0.1,0.049753985823063875,98.69889267664752,2.844575616958979,47.62105857198303,41.93302891933029
bert-base-uncased,16,1,3e-05,5e-05,1e-08,0.1,0.1,0.963219799621751,47.406303237812686,0.9466330960795686,52.36486486486487,49.42922374429224
bert-base-uncased,16,3,3e-05,5e-05,1e-08,0.1,0.1,0.2932130079557786,89.28875638841566,1.634537948949917,53.406531544956,46.27092846270928
bert-base-uncased,16,2,3e-05,5e-05,1e-08,0.1,0.5,0.8229573291347217,63.494463374098885,0.9505428631563444,56.58783783783784,50.0
bert-base-uncased,16,2,5e-03,2e-05,1e-08,0.1,0.01,0.8640907448946515,60.43654173815677,0.9335295485483633,56.84121621621622,50.532724505327245
bert-base-uncased,16,2,5e-03,2e-05,1e-08,0.1,0.7,0.8653311928959477,60.063884157236835,0.9337685055829383,57.01013513513513,50.34246575342466
bert-base-uncased,16,2,5e-03,2e-05,1e-08,0.3,0.01,0.8961150420788403,57.244463374098885,0.9304311581560083,56.02477478819925,49.61948249619482
bert-base-uncased,16,2,5e-03,2e-05,1e-08,0.1,0.01,0.9535369073918162,49.122657584981575,0.9624514358269202,46.734234247658705,49.923896499238964
bert-base-uncased,16,3,5e-03,2e-05,1e-08,0.1,0.9,0.7048996182275996,70.56005110732538,1.0538266134020444,52.02702702702703,50.03805175038052
bert-base-uncased more_data,16,3,5e-03,2e-05,1e-08,0.1,0.9,0.2767301854097618,90.17295597484278,1.4536971780093941,50.78828830171276,49.80974124809741
bert-base-uncased more_data,16,1,5e-03,2e-05,1e-08,0.1,0.1,0.9473693124028372,49.64061096404333,0.9366792162527909,53.23761262603708,50.19025875190258
bert-base-uncased more_data,16,2,5e-03,2e-05,1e-08,0.1,0.1,0.6993590668312408,71.25355645670581,1.0406750758757461,55.22240992333438,50.4185692541857
bert-base-uncased more_data,16,1,8e-03,3e-05,1e-08,0.3,0.05,0.9500814975557588,49.99812818923087,0.9438883146724185,54.560810810810814,50.30441400304414
